day,date,channel,content_or_campaign,utm_source,utm_medium,utm_campaign,page_views,public_route_selects,professional_route_starts,driver_form_starts,driver_requests,professional_unlocks,spend_cny,notes
1,,xiaohongshu,bali_launch_01,xiaohongshu,organic,bali_launch_01,,,,,,,,,
2,,instagram,dicky_carousel,instagram,organic,bali_launch_01,,,,,,,,,
3,,instagram,gede_nico_carousel,instagram,organic,bali_launch_01,,,,,,,,,
4,,tiktok_or_douyin,regional_route_video,tiktok_or_douyin,organic,bali_launch_01,,,,,,,,,
5,,organic,reply_and_observe,,,bali_launch_01,,,,,,,,,
6,,organic,reply_and_observe,,,bali_launch_01,,,,,,,,,
7,,instagram,driver_moments,instagram,organic,bali_launch_01,,,,,,,,,
8,,organic,review_search_terms_or_comments,,,bali_launch_01,,,,,,,,,
9,,organic,reuse_best_hook,,,bali_launch_01,,,,,,,,,
10,,social,r1_vs_r3_comparison,social,organic,bali_launch_01,,,,,,,,,
11,,organic,reply_and_observe,,,bali_launch_01,,,,,,,,,
12,,organic,reply_and_observe,,,bali_launch_01,,,,,,,,,
13,,organic,prepare_summary,,,bali_launch_01,,,,,,,,,
14,,review,full_funnel_review,,,bali_launch_01,,,,,,,,,
